"Sex" "Age" "Income" "Party"
1 32 4 1
1 47 4 1
2 35 4 1
1 67 2 1
2 73 1 2
2 68 1 1
2 39 2 5
1 69 1 1
2 59 2 5
1 75 1 2
1 49 3 1
2 34 1 6
2 56 1 6
1 32 3 2
1 76 1 1
2 69 3 7
2 81 1 1
1 63 2 7
2 36 2 7
1 44 4 1
2 68 1 2
1 55 3 2
2 45 4 2
1 71 2 1
2 30 1 7
2 23 3 2
2 68 1 6
1 50 4 1
2 29 3 6
1 47 4 1
1 63 1 2
1 28 3 3
2 24 3 2
2 64 1 5
2 26 4 2
2 61 1 2
2 65 2 6
1 69 1 1
2 70 3 6
2 75 1 4
1 43 3 2
1 59 3 7
1 50 4 6
1 76 2 1
1 66 4 2
2 80 1 2
1 65 2 1
1 57 3 5
2 37 3 7
2 58 3 5
2 61 4 7
2 33 3 4
1 45 4 1
1 74 2 6
1 24 4 3
2 51 2 2
1 36 4 1
2 87 1 7
1 40 1 2
2 27 3 2
1 61 4 3
2 35 3 7
1 66 2 2
2 29 3 1
2 38 5 1
2 59 1 7
1 71 2 5
1 30 3 4
2 38 5 2
1 72 2 1
2 53 4 2
2 67 1 7
2 32 5 1
2 42 1 2
2 65 2 2
1 82 1 1
2 42 2 1
2 64 2 1
2 39 1 1
2 33 4 1
1 53 5 1
2 59 3 2
1 68 2 3
1 41 4 2
1 34 3 3
2 27 4 2
1 34 4 2
1 48 3 3
1 40 4 6
2 45 3 7
1 42 4 2
2 45 5 5
1 64 1 4
1 72 1 1
2 39 2 5
1 44 4 3
2 54 4 2
2 71 2 4
2 40 4 1
2 30 2 5
2 81 1 1
1 44 4 1
2 50 3 2
2 29 4 4
2 52 5 6
2 53 1 6
1 56 3 3
1 38 4 6
2 60 2 2
2 58 4 6
2 58 4 1
2 42 3 2
1 57 5 6
2 43 3 1
1 38 3 5
2 43 3 1
1 58 4 6
2 38 4 2
2 45 1 2
2 30 4 4
2 35 4 2
2 66 2 7
2 59 4 1
1 44 4 7
2 74 2 2
2 38 3 7
2 34 4 1
1 43 3 1
2 44 4 1
2 57 2 2
1 61 4 2
1 50 5 4
1 52 4 7
2 66 4 6
1 73 2 1
2 37 4 1
1 37 4 7
2 66 1 7
2 47 4 1
1 60 3 6
1 51 4 5
2 46 3 1
2 71 2 1
2 68 1 6
2 83 1 6
1 30 3 4
2 60 4 7
1 52 3 1
2 64 3 7
1 31 5 7
2 41 4 1
1 42 3 6
2 31 4 4
1 53 1 7
2 73 4 7
1 50 2 1
2 58 4 6
1 63 2 5
1 53 2 1
2 42 5 1
1 39 4 5
1 63 2 7
2 56 3 5
2 44 3 2
2 40 4 1
2 29 3 2
2 48 5 7
2 34 4 6
2 36 4 1
2 63 1 2
1 67 4 5
2 42 4 1
2 46 3 1
1 66 2 7
2 37 3 1
1 62 3 1
1 73 1 1
1 53 4 2
1 65 3 2
2 29 5 2
2 51 4 2
1 55 3 1
2 51 2 4
1 45 3 7
1 38 4 2
1 40 2 5
1 62 2 1
2 50 4 6
1 74 2 2
1 66 3 4
1 58 2 4
2 39 3 6
1 62 3 2
1 48 3 2
2 34 3 2
1 77 2 1
1 75 3 4
2 54 3 5
1 52 3 5
2 42 2 6
2 60 3 5
2 33 4 6
2 67 1 2
2 62 2 2
2 33 3 2
1 54 2 2
1 71 1 5
2 64 1 6
2 38 4 2
1 36 5 7
2 68 4 7
1 59 2 1
1 54 3 7
2 58 2 1
2 50 3 6
2 29 3 6
2 56 1 2
