"Sex" "Age" "Income" "Party"
2 61 3 1
1 70 1 1
1 67 3 3
2 47 2 1
2 52 5 5
2 30 4 2
1 37 4 1
2 31 3 4
2 79 1 7
2 26 3 3
2 60 1 2
1 22 1 6
2 47 4 6
2 20 2 2
1 49 4 6
1 60 1 2
2 22 5 7
2 36 2 2
2 46 3 3
2 64 3 1
2 71 4 7
2 60 3 2
2 63 3 7
2 36 4 1
1 41 4 4
1 38 3 5
2 51 1 7
1 37 4 3
1 18 3 4
2 22 1 4
2 37 4 6
1 64 2 6
2 38 3 5
1 91 2 1
2 37 5 3
1 30 3 4
2 35 4 6
1 59 3 5
2 36 3 2
2 18 1 3
2 58 3 4
2 64 3 4
1 68 2 2
1 66 3 1
1 31 4 7
1 74 1 2
1 67 3 2
1 21 4 2
1 53 4 7
2 59 4 5
2 29 3 1
2 61 3 4
2 24 3 1
2 80 2 2
1 38 3 6
1 32 3 6
2 42 3 6
1 76 1 7
2 69 1 6
2 34 4 2
1 27 3 1
2 52 4 2
2 63 4 7
2 32 4 7
1 48 4 1
2 63 1 6
1 71 2 2
2 61 5 7
1 73 2 6
2 66 1 6
1 55 3 5
1 72 2 2
2 36 4 1
1 29 3 1
1 63 4 2
1 32 5 6
1 56 4 4
2 77 1 3
1 56 3 6
1 46 3 3
2 76 1 7
1 55 2 5
2 71 1 4
2 28 1 1
2 26 4 6
1 40 5 2
2 82 1 7
1 27 3 2
1 60 4 2
1 27 3 1
1 41 3 7
1 41 5 4
2 32 4 2
1 22 3 5
2 24 4 6
1 27 1 5
2 52 2 7
1 29 2 6
1 60 3 2
1 29 4 4
2 58 1 2
2 44 3 7
2 69 1 1
1 49 4 2
2 54 3 1
1 47 4 4
2 71 2 1
1 34 3 2
2 33 3 6
2 66 2 2
1 74 3 5
2 34 5 2
2 42 4 4
2 25 2 2
2 83 1 1
1 70 3 1
2 47 3 1
2 42 3 3
2 50 4 6
2 58 2 3
2 44 3 2
2 72 1 1
2 43 4 1
2 33 1 6
1 54 4 2
2 47 4 5
1 60 3 6
2 18 3 2
1 70 1 6
2 29 3 5
1 54 5 5
1 42 3 3
2 36 1 2
1 19 3 6
2 57 1 2
2 33 3 7
2 66 3 4
1 43 4 2
1 61 1 2
2 69 2 1
2 59 3 3
1 88 1 1
2 40 3 5
1 47 4 1
2 39 4 5
2 73 1 1
2 21 3 1
1 20 4 6
2 27 2 5
2 73 1 3
2 40 4 2
2 41 3 7
2 20 2 2
2 44 4 7
1 28 4 5
1 45 3 2
1 39 3 4
2 69 2 6
2 32 1 2
2 59 3 1
1 64 3 1
1 21 2 6
2 19 1 2
1 42 4 6
1 24 4 3
1 19 1 4
2 35 4 3
2 56 4 2
2 36 3 4
2 34 3 1
1 26 4 3
1 33 3 5
2 75 1 5
2 76 1 3
2 32 2 2
2 52 3 1
2 26 3 6
2 48 4 2
2 37 5 5
2 74 1 6
2 56 3 1
1 42 4 1
1 58 3 1
2 73 1 4
1 79 2 1
1 28 4 6
1 62 3 1
1 73 1 3
1 61 4 2
1 42 3 2
2 66 2 6
2 27 2 4
1 32 3 3
1 76 4 6
2 27 3 2
2 27 3 4
1 40 3 4
2 71 3 1
2 30 3 6
1 56 4 5
1 31 5 4
1 23 1 1
2 21 3 2
1 29 2 2
1 33 4 3
1 78 5 7
2 25 2 3
2 75 3 1
1 45 4 7
1 25 1 1
2 77 1 2
1 51 4 1
2 33 3 3
1 77 1 1
1 28 4 4
1 51 3 6
1 76 2 1
2 65 4 6
2 79 1 5
2 29 2 2
2 25 3 2
1 40 4 3
2 70 1 1
2 75 1 2
2 67 2 3
2 23 2 2
1 72 1 1
2 66 1 6
2 20 3 2
2 43 5 4
2 27 3 2
2 75 3 7
1 61 4 3
1 51 4 5
2 24 3 7
2 42 1 1
2 37 4 5
1 22 3 5
1 80 1 5
2 66 1 6
2 35 4 4
